iter	Passed	Remaining
657	1530	795
658	1532	793
659	1534	790
660	1536	788
661	1538	785
662	1541	783
663	1543	781
664	1545	778
665	1547	776
666	1550	773
667	1552	771
668	1554	768
669	1556	766
670	1559	764
671	1561	762
672	1563	759
673	1565	757
674	1567	754
675	1569	752
676	1571	749
677	1573	747
678	1575	744
679	1577	742
680	1579	739
681	1581	737
682	1582	734
683	1584	732
684	1587	729
685	1589	727
686	1591	724
687	1593	722
688	1595	720
689	1598	717
690	1600	715
691	1602	713
692	1604	710
693	1606	708
694	1608	705
695	1610	703
696	1612	701
697	1614	698
698	1616	696
699	1619	693
700	1621	691
701	1622	688
702	1624	686
703	1627	684
704	1629	681
705	1631	679
706	1633	676
707	1635	674
708	1637	671
709	1639	669
710	1641	667
711	1643	664
712	1645	662
713	1647	659
714	1649	657
715	1651	654
716	1653	652
717	1655	650
718	1657	647
719	1659	645
720	1661	642
721	1663	640
722	1665	637
723	1667	635
724	1669	633
725	1671	630
726	1673	628
727	1675	625
728	1677	623
729	1679	621
730	1681	618
731	1683	616
732	1685	614
733	1687	611
734	1689	609
735	1691	606
736	1693	604
737	1695	602
738	1697	599
739	1699	597
740	1701	594
741	1703	592
742	1705	589
743	1707	587
744	1709	585
745	1712	582
746	1714	580
747	1716	578
748	1718	575
749	1720	573
750	1722	571
751	1724	568
752	1727	566
753	1729	564
754	1732	562
755	1734	559
756	1736	557
757	1738	554
758	1739	552
759	1742	550
760	1744	548
761	1747	545
762	1749	543
763	1751	541
764	1754	538
765	1756	536
766	1758	534
767	1760	531
768	1763	529
769	1765	527
770	1769	525
771	1771	523
772	1773	520
773	1776	518
774	1778	516
775	1780	513
776	1782	511
777	1785	509
778	1788	507
779	1791	505
780	1793	502
781	1795	500
782	1797	498
783	1799	495
784	1801	493
785	1803	491
786	1806	488
787	1808	486
788	1809	484
789	1811	481
790	1814	479
791	1816	477
792	1818	474
793	1821	472
794	1823	470
795	1825	467
796	1827	465
797	1829	463
798	1831	460
799	1833	458
800	1837	456
801	1839	454
802	1841	451
803	1844	449
804	1846	447
805	1848	444
806	1849	442
807	1852	440
808	1855	438
809	1857	435
810	1859	433
811	1861	430
812	1863	428
813	1865	426
814	1867	423
815	1869	421
816	1871	419
817	1873	416
818	1875	414
819	1877	412
820	1878	409
821	1880	407
822	1882	404
823	1885	402
824	1886	400
825	1888	397
826	1890	395
827	1892	393
828	1893	390
829	1895	388
830	1897	385
831	1899	383
832	1901	381
833	1903	378
834	1904	376
835	1906	374
836	1908	371
837	1910	369
838	1911	366
839	1913	364
840	1915	362
841	1917	359
